date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:00:09	457/457	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2015%20Aug%202020%2022:06:50%20GMT	https://validthemes.live//themeforest/digilab/assets/img/shape/1.svg	C:/Users/sumit/Desktop/projects/WEB3_connect_bhopal/web3_event_bhopal/validthemes.live/themeforest/digilab/assets/img/shape/1.svg	(from https://validthemes.live//themeforest/digilab/index-1.html)
11:00:10	23841/23841	---M--	200	added ('OK')	image/png	date:Sun,%2023%20Aug%202020%2012:09:50%20GMT	https://validthemes.live//themeforest/digilab/assets/img/illustration/7.png	C:/Users/sumit/Desktop/projects/WEB3_connect_bhopal/web3_event_bhopal/validthemes.live/themeforest/digilab/assets/img/illustration/7.png	(from https://validthemes.live//themeforest/digilab/index-1.html)
11:00:10	16685/16685	---M--	200	added ('OK')	image/png	date:Sun,%2023%20Aug%202020%2012:09:50%20GMT	https://validthemes.live//themeforest/digilab/assets/img/illustration/3.png	C:/Users/sumit/Desktop/projects/WEB3_connect_bhopal/web3_event_bhopal/validthemes.live/themeforest/digilab/assets/img/illustration/3.png	(from https://validthemes.live//themeforest/digilab/index-1.html)
11:00:11	35661/35661	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Aug%202020%2021:39:16%20GMT	https://validthemes.live//themeforest/digilab/assets/img/case/2.jpg	C:/Users/sumit/Desktop/projects/WEB3_connect_bhopal/web3_event_bhopal/validthemes.live/themeforest/digilab/assets/img/case/2.jpg	(from https://validthemes.live//themeforest/digilab/index-1.html)
11:00:12	31869/31869	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Aug%202020%2021:38:46%20GMT	https://validthemes.live//themeforest/digilab/assets/img/case/1.jpg	C:/Users/sumit/Desktop/projects/WEB3_connect_bhopal/web3_event_bhopal/validthemes.live/themeforest/digilab/assets/img/case/1.jpg	(from https://validthemes.live//themeforest/digilab/index-1.html)
11:00:14	4988/4988	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Feb%202020%2023:53:12%20GMT	https://validthemes.live//themeforest/digilab/assets/img/clients/01.png	C:/Users/sumit/Desktop/projects/WEB3_connect_bhopal/web3_event_bhopal/validthemes.live/themeforest/digilab/assets/img/clients/01.png	(from https://validthemes.live//themeforest/digilab/index-1.html)
11:00:14	44218/44218	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Aug%202020%2021:42:08%20GMT	https://validthemes.live//themeforest/digilab/assets/img/case/6.jpg	C:/Users/sumit/Desktop/projects/WEB3_connect_bhopal/web3_event_bhopal/validthemes.live/themeforest/digilab/assets/img/case/6.jpg	(from https://validthemes.live//themeforest/digilab/index-1.html)
11:00:14	39599/39599	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2018%20Feb%202019%2001:27:46%20GMT	https://validthemes.live//themeforest/digilab/assets/img/map.svg	C:/Users/sumit/Desktop/projects/WEB3_connect_bhopal/web3_event_bhopal/validthemes.live/themeforest/digilab/assets/img/map.svg	(from https://validthemes.live//themeforest/digilab/index-1.html)
11:00:16	4480/4480	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Feb%202020%2003:45:44%20GMT	https://validthemes.live//themeforest/digilab/assets/img/clients/02.png	C:/Users/sumit/Desktop/projects/WEB3_connect_bhopal/web3_event_bhopal/validthemes.live/themeforest/digilab/assets/img/clients/02.png	(from https://validthemes.live//themeforest/digilab/index-1.html)
11:00:16	6601/6601	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Feb%202020%2023:52:38%20GMT	https://validthemes.live//themeforest/digilab/assets/img/clients/03.png	C:/Users/sumit/Desktop/projects/WEB3_connect_bhopal/web3_event_bhopal/validthemes.live/themeforest/digilab/assets/img/clients/03.png	(from https://validthemes.live//themeforest/digilab/index-1.html)
